SITE,URL,RSS URL,TOPIC,APLF
Linux Game Cast Weekly,https://linuxgamecast.com,https://linuxgamecast.com/feed/lgcweeklyaudio/,Linux Gaming News,1
Sunday Morning Linux Review,https://smlr.us,https://smlr.us/?feed=podcast,Linux News,1
Destination Linux,https://destinationlinux.org,https://destinationlinux.org/feed/mp3/,Linux News,1
Floss Weekly,https://twit.tv/shows/floss-weekly,http://feeds.twit.tv/floss.xml,Linux News,1
Ubuntupodcast,http://ubuntupodcast.org,http://ubuntupodcast.org/feed/podcast/,Ubuntu Linux News,1
Sixgun,http://sixgun.org/gnr,http://sixgun.org/gnr/feed/mp3/,Linux News,0
Late Night Linux,LateNightLinux.com,https://latenightlinux.com/feed/mp3,Linux News,1
Commandline Heroes,https://www.redhat.com/en/command-line-heroes,https://feeds.pacific-content.com/commandlineheroes,RedHat Linux News,1
Linuxlads,https://linuxlads.com,https://linuxlads.com/feed_ogg.rss,Linux News,1
Big Daddy Linux,https://bigdaddylinux.com,https://feeds.fireside.fm/bigdaddylinuxlive/rss,Linux News,1
Linux Action News,https://www.jupiterbroadcasting.com/show/linux-action-news/,https://feeds.fireside.fm/linuxactionnews/rss,Linux News,1
Linux Unplugged,https://www.jupiterbroadcasting.com/show/linuxun/,https://feeds.fireside.fm/linuxunplugged/rss,Linux News,1
Choose Linux,https://www.jupiterbroadcasting.com/show/choose/,https://feeds.fireside.fm/chooselinux/rss,Linux news,1
Linux Headlines,https://www.jupiterbroadcasting.com/show/headlines/,https://feeds.fireside.fm/linuxheadlines/rss,Linux News,1
This Week in Linux,https://tuxdigital.com,https://tuxdigital.com/feed/thisweekinlinux-mp3,Linux News,1
USER ERROR,https://error.show,https://feeds.fireside.fm/usererror/rss,Linux News,1
Linux For Everyone,https://www.linux4everyone.com,https://feeds.fireside.fm/linuxforeveryone/rss,Linux News,1
DLN Xtend Reviews,https://www.linux4everyone.com,https://feeds.fireside.fm/linuxforeveryone/rss,Linux Reviews,1
Mintcast,https://mintcast.org,https://mintcast.org/category/ogg/feed/,Linux Mint community,1
